,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
18828,10/16/2021,10/31/2021,,,9.0,1631498231,9.78163E+12,The ESPN reporter traces the inner workings of the New England Patriots and their influence on the N.F.L. over two decades.,IT'S BETTER TO BE FEARED,Seth Wickersham
18852,10/16/2021,10/31/2021,,,13.0,358574315,9.78036E+12,The foreign policy expert traces her life from being a coal miner’s daughter in northern England to her testimony in the first impeachment inquiry of former President Trump.,THERE IS NOTHING FOR YOU HERE,Fiona Hill
18864,10/16/2021,10/31/2021,,,15.0,1101984694,9.7811E+12,The actor and humorist shares stories and observations from three quests taken in the outdoors.,WHERE THE DEER AND THE ANTELOPE PLAY,Nick Offerman
18912,4/25/2020,5/10/2020,,,8.0,1982144890,9.78198E+12,"The actor recalls his career highlights, romances and the toll cancer has taken on his voice.",I'M YOUR HUCKLEBERRY,Val Kilmer
18977,5/16/2015,5/31/2015,,,3.0,1400069696,9.7814E+12,The journalist describes the year following his diagnosis with multiple myeloma.,LUCKY LIFE INTERRUPTED,Tom Brokaw
19009,5/16/2015,5/31/2015,,,8.0,1101903821,9.7811E+12,"A memoir of life, often uproarious, with the comedian Joan Rivers, written by her daughter.",THE BOOK OF JOAN,Melissa Rivers
19063,5/16/2015,5/31/2015,,,16.0,1455585661,9.78146E+12,A high-level C.I.A. officer assesses the agency’s counterterrorism successes and failures.,THE GREAT WAR OF OUR TIME,Michael Morell with Bill Harlow
19075,5/16/2015,5/31/2015,,,18.0,316247766,9.78032E+12,"The photographer’s thoughts on art, photography, family and the South.",HOLD STILL,Sally Mann
19087,5/16/2015,5/31/2015,,,20.0,038534497X,9.78039E+12,"The story of Catherine Wendell and her husband, who became the sixth Earl of Carnarvon.","LADY CATHERINE, THE EARL, AND THE REAL DOWNTON ABBEY",the Countess of Carnarvon
19099,2/17/2018,3/4/2018,,,2.0,525427570,9.78053E+12,"A case for using reason, science and humanism to counter pessimistic views of Western civilization.",ENLIGHTENMENT NOW,Steven Pinker
19112,2/17/2018,3/4/2018,,,4.0,316412651,9.78032E+12,"The story of Aaron Hernandez, the New England Patriots tight end convicted of first-degree murder.",ALL-AMERICAN MURDER,James Patterson and Alex Abramovich with Mike Harvkey
19119,2/17/2018,3/4/2018,,,5.0,399592067,9.7804E+12,A divinity school professor examines her tacit beliefs when she learns she has late-stage colon cancer.,EVERYTHING HAPPENS FOR A REASON,Kate Bowler
19125,2/17/2018,3/4/2018,,,6.0,451498143,9.78045E+12,"An oral history of the creation and development of the series ""The Wire.""",ALL THE PIECES MATTER,Jonathan Abrams
19152,2/17/2018,3/4/2018,,,10.0,163286830X,9.78163E+12,"The journalist describes nine causes of depression and anxiety, and offers potential solutions.",LOST CONNECTIONS,Johann Hari
19164,2/17/2018,3/4/2018,,,12.0,1455566977,9.78146E+12,The story of the American socialite whose relationship with King Edward VIII forced him to abdicate his throne.,WALLIS IN LOVE,Andrew Morton
19176,2/17/2018,3/4/2018,,,14.0,735210624,9.78074E+12,Research from several fields reveals the ideal time to make small decisions and big life changes.,WHEN,Daniel H Pink
19241,9/26/2015,10/11/2015,,,9.0,,9.78147E+12,"An account of Hitler's private life by a soldier who was part of his SS bodyguard, and died in 2013.",HITLER'S LAST WITNESS,Rochus Misch and others
19247,9/26/2015,10/11/2015,,,10.0,1439114080,9.78144E+12,"A pivotal year that saw D-Day, the liberation of Paris, Franklin Roosevelt’s re-election and the Battle of the Bulge.",1944,Jay Winik
19266,9/26/2015,10/11/2015,,,13.0,1610395530,9.78161E+12,"The consequences of the Boston F.B.I.'s protection of James (Whitey) Bulger, the head of the Irish mob. Originally published in 2000; now a movie.",BLACK MASS,Dick Lehr and Gerald O'Neill
19272,9/26/2015,10/11/2015,,,14.0,62346229,9.78006E+12,Bipolar disorder drove a former Olympic runner to become a high-priced Las Vegas escort until she received treatment.,FAST GIRL,Suzy Favor Hamilton with Sarah Tomlinson
19278,9/26/2015,10/11/2015,,,15.0,1501126121,9.7815E+12,The talk-radio host looks to Muslim teachings for the roots of Islamic extremism.,IT IS ABOUT ISLAM,Glenn Beck
19308,9/26/2015,10/11/2015,,,20.0,1601427557,9.7816E+12,A comic turned pastor documents encounters with grace and finding divinity in unlikely places.,ACCIDENTAL SAINTS,Nadia Bolz-Weber
19436,10/15/2011,10/30/2011,,,19.0,670022950,9.78067E+12,"The Harvard psychologist argues that we are living in the most peaceable period of human existence, thanks to developments ­— government, literacy, trade — that make it possible for people to control their violent impulses.",THE BETTER ANGELS OF OUR NATURE,Steven Pinker
19476,10/22/2016,11/6/2016,,,5.0,62457519,9.78006E+12,A memoir by the host of the YouTube show “My Drunk Kitchen” focuses on her challenging childhood.,BUFFERING,Hannah Hart
19482,10/22/2016,11/6/2016,,,6.0,316274054,9.78032E+12,The story of a South Florida financier convicted of soliciting sex from underage girls.,FILTHY RICH,James Patterson and John Connolly with Tim Malloy
19506,10/22/2016,11/6/2016,,,10.0,1476793859,9.78148E+12,The actor discusses his relationships and career.,A LIFE IN PARTS,Bryan Cranston
19530,10/22/2016,11/6/2016,,,14.0,1594206708,9.78159E+12,"The poet’s essays, many close observations of the natural world.",UPSTREAM,Mary Oliver
19536,10/22/2016,11/6/2016,,,15.0,1101906219,9.7811E+12,More than 50 eulogies for significant 20th-century figures.,A TORCH KEPT LIT,William F Buckley Jr
19542,10/22/2016,11/6/2016,,,16.0,1579656676,9.78158E+12,The entrepreneurial single mom of the HGTV and DIY Network show “Rehab Addict” memoir.,BETTER THAN NEW,Nicole Curtis
19566,10/22/2016,11/6/2016,,,20.0,1621576418,9.78162E+12,An attack on Hillary Clinton focused on her use of a private email server and the activities of the Clinton Foundation.,GUILTY AS SIN,Edward Klein
