"status","copyright","errors__001","errors__002","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://goto.applebooks.apple/9780544749009?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780544749009",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FFIVE%252BEASY%252BTHESES%252FJames%252BStone%252F9780544749009&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DFIVE%252BEASY%252BTHESES%252BJames%252BStone",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780544749009&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DFIVE%2BEASY%2BTHESES",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780544749009%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DFIVE%2BEASY%2BTHESES%2BJames%2BStone%26aff%3DNYT",""
"","","","","","","","","","","","","","","","","9","0","0","0","0","1595586431","9781595586438","New Press","A law professor takes aim at the “war on drugs” and its impact on black men.","0.00","THE NEW JIM CROW","Michelle Alexander","by Michelle Alexander","","https://storage.googleapis.com/du-prd/books/images/9781595586438.jpg","128","191","http://www.amazon.com/The-New-Crow-Incarceration-Colorblindness/dp/1595586431?tag=NYTBSREV-20","","","","","","1595586431","9781595586438","Amazon","http://www.amazon.com/The-New-Crow-Incarceration-Colorblindness/dp/1595586431?tag=NYTBSREV-20","nyt://book/31fface8-9bb3-58b3-b1bf-35a532c54a7b"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1595581030","9781595581037","Apple Books","https://goto.applebooks.apple/9781595586438?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1595588191","9781595588197","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781595586438",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1595585303","9781595585301","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BNEW%252BJIM%252BCROW%252FMichelle%252BAlexander%252F9781595586438&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BNEW%252BJIM%252BCROW%252BMichelle%252BAlexander",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1501260235","9781501260230","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781595586438&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BNEW%2BJIM%2BCROW",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1620971933","9781620971932","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781595586438%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BNEW%2BJIM%2BCROW%2BMichelle%2BAlexander%26aff%3DNYT",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1620975459","9781620975459","","",""
