results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
12/13/2014,12/28/2014,,,12,1627792287,9.78163E+12,One year in the (social) life of the TV producer and host of “Watch What Happens Live.”,THE ANDY COHEN DIARIES,Andy Cohen
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,13,374280606,9.78037E+12,"An account, based on interviews, of the experience of the 33 Chilean miners who were trapped underground for 69 days in 2010 and, incredibly, rescued.",DEEP DOWN DARK,Héctor Tobar
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,14,081299499X,9.78081E+12,A collection of revealing and often humorous personal essays from the creator and star of “Girls.”,NOT THAT KIND OF GIRL,Lena Dunham
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,15,147670869X,9.78148E+12,"Studies of the people who created computers and the Internet, beginning in the 1840s.",THE INNOVATORS,Walter Isaacson
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,16,1476764026,9.78148E+12,"The making of the movie “The Princess Bride,” 25 years ago.",AS YOU WISH,Cary Elwes with Joe Layden
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,17,1594486298,9.78159E+12,"Essays about forgiveness, transformation and grace.",SMALL VICTORIES,Anne Lamott
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,18,1476783667,9.78148E+12,"The Yankee shortstop and team captain looks back over his career, with photographs from his recently concluded final season, as well as older ones.",JETER UNFILTERED,Derek Jeter with Anthony Bozza
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,19,307352153,9.78031E+12,Introverts — approximately one-third of the population — are undervalued in American society.,QUIET,Susan Cain
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,20,307589382,9.78031E+12,The story of a woman whose cancer cells were cultured without her permission in 1951.,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
4/11/2015,4/26/2015,Combined Print & E-Book Nonfiction,15,1,62305212,9.78006E+12,"Fifty years of White House lore, based on interviews with butlers, maids and other staff members.",THE RESIDENCE,Kate Andersen Brower
